规划日期,目标日期,24:00基础模型,边界预测方法,预测_当日24:00,实际_当日24:00,预测_次日00:10,实际_次日00:10,预测_最后区间平均负载,实际_最后区间平均负载
2025-12-23,2025-12-24,Baseline,目标时刻上周同期,3615.65,3579.47,3625.6262,3784.6124,3620.6381,3682.0411999999997
2025-12-24,2025-12-25,Baseline,XGBoost跨日边界,3385.65,3573.24,3405.70068359375,3536.5305,3395.675341796875,3554.88525
2025-12-24,2025-12-25,Baseline,历史跨日比例,3385.65,3573.24,3404.362634171193,3536.5305,3395.0063170855965,3554.88525
2025-12-24,2025-12-25,Baseline,目标时刻上周同期,3385.65,3573.24,3339.3699,3536.5305,3362.50995,3554.88525
2025-12-25,2025-12-26,Baseline,XGBoost跨日边界,2446.27,2360.89,2511.880859375,2470.813,2479.0754296875,2415.8514999999998
2025-12-25,2025-12-26,Baseline,历史跨日比例,2446.27,2360.89,2463.161532399866,2470.813,2454.7157661999327,2415.8514999999998
2025-12-25,2025-12-26,Baseline,目标时刻上周同期,2446.27,2360.89,2469.608,2470.813,2457.9390000000003,2415.8514999999998
2025-12-26,2025-12-27,Baseline,XGBoost跨日边界,2566.67,2530.45,2627.781005859375,2338.1942,2597.2255029296875,2434.3221
2025-12-26,2025-12-27,Baseline,历史跨日比例,2566.67,2530.45,2584.3928962725963,2338.1942,2575.5314481362984,2434.3221
2025-12-26,2025-12-27,Baseline,目标时刻上周同期,2566.67,2530.45,2686.8269,2338.1942,2626.74845,2434.3221
2025-12-27,2025-12-28,Baseline,XGBoost跨日边界,3373.27,3378.26,3527.248291015625,3784.9516,3450.2591455078127,3581.6058000000003
2025-12-27,2025-12-28,Baseline,历史跨日比例,3373.27,3378.26,3396.5624818186448,3784.9516,3384.9162409093224,3581.6058000000003
2025-12-27,2025-12-28,Baseline,目标时刻上周同期,3373.27,3378.26,3576.1063,3784.9516,3474.68815,3581.6058000000003
2025-12-28,2025-12-29,Baseline,XGBoost跨日边界,3464.4,3439.02,3551.2197265625,3478.8245,3507.80986328125,3458.92225
2025-12-28,2025-12-29,Baseline,历史跨日比例,3464.4,3439.02,3488.3217358861025,3478.8245,3476.3608679430513,3458.92225
